date,spend,sales
9/1/2022,95113,165879
9/2/2022,78221,455400
9/3/2022,78675,302078
9/4/2022,96216,477936
9/5/2022,89380,376129
9/6/2022,108475,354800
9/7/2022,154719,492299
9/8/2022,155849,361954
9/9/2022,67263,436958
9/10/2022,29969,282276
9/11/2022,50687,525064
9/12/2022,95172,413892
9/13/2022,77749,586397
9/14/2022,102458,393530
9/15/2022,77575,315521
9/16/2022,112438,281367
9/17/2022,113658,573520
9/18/2022,137263,671344
9/19/2022,107674,425104
9/20/2022,99121,306991
9/21/2022,131207,321100
9/22/2022,137323,118807
9/23/2022,106494,393194
9/24/2022,103129,179602
9/25/2022,121294,533578
9/26/2022,106178,968791
9/27/2022,202981,662464
9/28/2022,326929,1384951
9/29/2022,340553,767492
9/30/2022,194094,359270
10/1/2022,222446,605104
10/2/2022,327057,543736
10/3/2022,398814,920442
10/4/2022,387825,853504
10/5/2022,162634,511027
10/6/2022,143401,678750
10/7/2022,172913,324375
10/8/2022,242579,386080
10/9/2022,220951,982875
10/10/2022,185526,423125
10/11/2022,167364,351749
10/12/2022,192738,724303
10/13/2022,171532,832958
10/14/2022,162837,653957
10/15/2022,174257,792550
10/16/2022,212290,885897
10/17/2022,169226,643938
10/18/2022,159900,768366
10/19/2022,168519,734965
10/20/2022,178676,1131181
10/21/2022,182395,1183186
10/22/2022,212891,1023334
10/23/2022,214817,994233
10/24/2022,212654,1093699
10/25/2022,192516,1056841
10/26/2022,60063,170592
10/27/2022,63602,416638
10/28/2022,79314,152323
10/29/2022,96361,252538
10/30/2022,137016,547713
10/31/2022,123387,198747
11/1/2022,121255,278024
11/2/2022,119321,329391
11/3/2022,114139,639987
11/4/2022,110108,214744
11/5/2022,117733,392939
11/6/2022,114112,329253
11/7/2022,113340,318372
11/8/2022,114310,407296
11/9/2022,110737,469367
11/10/2022,113644,344443
11/11/2022,110636,423150
11/12/2022,120649,296546
11/13/2022,114415,289654
11/14/2022,117966,654107
11/15/2022,116622,897065
11/16/2022,426659,1859241
11/17/2022,903661,2552792
11/18/2022,816225,4835339
11/19/2022,809896,3431253
11/20/2022,1282137,3509212
11/21/2022,1233528,8113771
11/22/2022,156128,887179
11/23/2022,39109,247029
11/24/2022,60059,302983
11/25/2022,27379,296853
11/26/2022,52345,300200
11/27/2022,68994,378428
11/28/2022,110195,991697
11/29/2022,103059,573742
11/30/2022,126227,710064
12/1/2022,118237,612893
12/2/2022,47556,244631
12/3/2022,46401,281239
12/4/2022,47186,321959
12/5/2022,37987,422733
12/6/2022,32320,506902
12/7/2022,39791,510939
12/8/2022,25311,377452
12/9/2022,47414,538547
12/10/2022,41623,258649
12/11/2022,39060,572420
12/12/2022,37562,434075
12/13/2022,35534,397607
12/14/2022,35532,473995
12/15/2022,54958,366352
12/16/2022,94576,999108
12/17/2022,95175,751086
12/18/2022,107679,830564
12/19/2022,98857,896312
12/20/2022,87625,580526
12/21/2022,102943,917777
12/22/2022,90424,848380
12/23/2022,114274,639757
12/24/2022,77509,336679
12/25/2022,122481,396319
12/26/2022,80303,366988
12/27/2022,72744,580779
12/28/2022,62729,462660
12/29/2022,66177,581118
