date,sessions,conversion_rate
1/1/18,8713,.0049
1/2/18,12188,.0051
1/3/18,12119,.0078
1/4/18,12075,.0055
1/5/18,13694,.0113
1/6/18,9572,.0070
1/7/18,8618,.0065
1/8/18,9894,.0090
1/9/18,9128,.0111
1/10/18,8858,.0088
1/11/18,12773,.0063
1/12/18,8962,.0123
1/13/18,7943,.0103
1/14/18,8654,.0113
1/15/18,11687,.0133
1/16/18,10487,.0162
1/17/18,10470,.0147
1/18/18,10100,.0150
1/19/18,10514,.0122
1/20/18,9181,.0110
1/21/18,9612,.0107
1/22/18,10885,.0107
1/23/18,10151,.0140
1/24/18,9400,.0137
1/25/18,9835,.0147
1/26/18,9357,.0168
1/27/18,8262,.0159
1/28/18,9223,.0159
1/29/18,11123,.0191
1/30/18,10886,.0210
1/31/18,18188,.0107
2/1/18,10719,.0128
2/2/18,8596,.0148
2/3/18,8053,.0125
2/4/18,8781,.0116
2/5/18,9437,.0119
2/6/18,9940,.0128
2/7/18,8903,.0121
2/8/18,9927,.0133
2/9/18,8775,.0107
2/10/18,8490,.0090
2/11/18,8675,.0110
2/12/18,9135,.0082
2/13/18,8568,.0142
2/14/18,7456,.0126
2/15/18,8754,.0107
2/16/18,7260,.0117
2/17/18,6436,.0177
2/18/18,7116,.0096
2/19/18,7587,.0099
2/20/18,7604,.0129
2/21/18,7239,.0087
2/22/18,7802,.0113
2/23/18,6900,.0125
2/24/18,6601,.0132
2/25/18,7629,.0121
2/26/18,8486,.0160
2/27/18,8034,.0148
2/28/18,7918,.0117
3/1/18,7799,.0168
3/2/18,6896,.0154
3/3/18,7517,.0116
3/4/18,9425,.0080
3/5/18,8666,.0140
3/6/18,8667,.0160
3/7/18,8240,.0098
3/8/18,7633,.0096
3/9/18,7273,.0103
3/10/18,6042,.0101
3/11/18,6994,.0084
3/12/18,8366,.0090
3/13/18,8454,.0105
3/14/18,7783,.0054
3/15/18,8420,.0145
3/16/18,7255,.0150
3/17/18,6566,.0087
3/18/18,6341,.0068
3/19/18,8504,.0135
